member_id,full_name,first_name,last_name,membership_type,membership_from,party
2194,The Duke of Norfolk,The,Duke of Norfolk,,Excepted Hereditary,Crossbench
3191,Lord Northbrook,Northbrook,,,Excepted Hereditary,Conservative
2539,Baroness Northover,Northover,,,Life peer,Liberal Democrat
3187,Lord Norton of Louth,Norton,of Louth,,Life peer,Conservative
4999,The Lord Bishop of Norwich,The,Lord Bishop of Norwich,,Bishops,Bishops
4180,Baroness Nye,Nye,,,Life peer,Labour
2536,Lord Oakeshott of Seagrove Bay,Oakeshott,of Seagrove Bay,,Life peer,Non-affiliated
4549,Lord Oates,Oates,,,Life peer,Liberal Democrat
4255,Lord O'Donnell,O'Donnell,,,Life peer,Crossbench
4931,Lord Offord of Garvel,Offord,of Garvel,,Life peer,Conservative
4977,Baroness O'Grady of Upper Holloway,O'Grady,of Upper Holloway,,Life peer,Labour
3902,Baroness O'Loan,O'Loan,,,Life peer,Crossbench
2441,Baroness O'Neill of Bengarve,O'Neill,of Bengarve,,Life peer,Crossbench
4967,Baroness O'Neill of Bexley,O'Neill,of Bexley,,Life peer,Conservative
4536,Lord O'Neill of Gatley,O'Neill,of Gatley,,Life peer,Crossbench
4711,Baroness Osamor,Osamor,,,Life peer,Labour
4545,Lord O'Shaughnessy,O'Shaughnessy,,,Life peer,Conservative
4990,Baroness Owen of Alderley Edge,Owen,of Alderley Edge,,Life peer,Conservative
4279,The Lord Bishop of Oxford,The,Lord Bishop of Oxford,,Bishops,Bishops
4343,The Earl of Oxford and Asquith,The,Earl of Oxford and Asquith,,Excepted Hereditary,Crossbench
5389,Lord Pack,Pack,,,Life peer,Liberal Democrat
4288,Lord Paddick,Paddick,,,Life peer,Non-affiliated
4214,Lord Palmer of Childs Hill,Palmer,of Childs Hill,,Life peer,Liberal Democrat
3870,Lord Pannick,Pannick,,,Life peer,Crossbench
2545,Lord Parekh,Parekh,,,Life peer,Labour
4910,Lord Parker of Minsmere,Parker,of Minsmere,,Life peer,Crossbench
4728,Lord Parkinson of Whitley Bay,Parkinson,of Whitley Bay,,Life peer,Conservative
4178,Baroness Parminter,Parminter,,,Life peer,Liberal Democrat
2443,Lord Patel,Patel,,,Life peer,Crossbench
3798,Lord Patel of Bradford,Patel,of Bradford,,Life peer,Non-affiliated
1137,Lord Patten,Patten,,,Life peer,Conservative
1136,Lord Patten of Barnes,Patten,of Barnes,,Life peer,Conservative
3163,Lord Paul,Paul,,,Life peer,Non-affiliated
4975,Lord Peach,Peach,,,Life peer,Crossbench
3153,Lord Pearson of Rannoch,Pearson,of Rannoch,,Life peer,Non-affiliated
3161,Earl Peel,Peel,,,Excepted Hereditary,Crossbench
4726,Baroness Penn,Penn,,,Life peer,Conservative
5371,The Lord Bishop of Peterborough,The,Lord Bishop of Peterborough,,Bishops,Bishops
5015,Lord Petitgas,Petitgas,,,Life peer,Conservative
2439,Lord Phillips of Worth Matravers,Phillips,of Worth Matravers,,Life Peer (judicial),Crossbench
33,Lord Pickles,Pickles,,,Life peer,Conservative
4552,Baroness Pidding,Pidding,,,Life peer,Conservative
5366,Baroness Pidgeon,Pidgeon,,,Life peer,Liberal Democrat
4341,Baroness Pinnock,Pinnock,,,Life peer,Liberal Democrat
3179,Baroness Pitkeathley,Pitkeathley,,,Life peer,Labour
5384,Lord Pitkeathley of Camden Town,Pitkeathley,of Camden Town,,Life peer,Labour
4547,Lord Polak,Polak,,,Life peer,Conservative
3154,Lord Ponsonby of Shulbrede,Ponsonby,of Shulbrede,,Life peer,Labour
4173,Lord Popat,Popat,,,Life peer,Conservative
5009,Baroness Porter of Fulwood,Porter,of Fulwood,,Life peer,Conservative
4555,Lord Porter of Spalding,Porter,of Spalding,,Life peer,Conservative
2527,Lord Powell of Bayswater,Powell,of Bayswater,,Life peer,Crossbench
2476,Baroness Prashar,Prashar,,,Life peer,Crossbench
4401,Baroness Prentis of Banbury,Prentis,of Banbury,,Life peer,Conservative
4974,Lord Prentis of Leeds,Prentis,of Leeds,,Life peer,Labour
4570,Lord Price,Price,,,Life peer,Conservative
217,Baroness Primarolo,Primarolo,,,Life peer,Labour
127,Lord Prior of Brampton,Prior,of Brampton,,Life peer,Conservative
3684,Baroness Prosser,Prosser,,,Life peer,Labour
4293,Lord Purvis of Tweed,Purvis,of Tweed,,Life peer,Liberal Democrat
5400,Baroness Rafferty,Rafferty,,,Life peer,Labour
3276,Baroness Ramsay of Cartvale,Ramsay,of Cartvale,,Life peer,Labour
5022,Baroness Ramsey of Wall Heath,Ramsey,of Wall Heath,,Life peer,Labour
209,Lord Randall of Uxbridge,Randall,of Uxbridge,,Life peer,Conservative
4729,Lord Ranger,Ranger,,,Life peer,Conservative
4989,Lord Ranger of Northwood,Ranger,of Northwood,,Life peer,Conservative
5388,Lord Raval,Raval,,,Life peer,Labour
4715,Lord Ravensdale,Ravensdale,,,Excepted Hereditary,Crossbench
3278,Baroness Rawlings,Rawlings,,,Life peer,Conservative
3275,Lord Razzall,Razzall,,,Life peer,Liberal Democrat
4713,Lord Reay,Reay,,,Excepted Hereditary,Conservative
4332,Baroness Rebuck,Rebuck,,,Life peer,Labour
3271,Lord Redesdale,Redesdale,,,Life peer,Non-affiliated
4551,Baroness Redfern,Redfern,,,Life peer,Conservative
5397,Lord Rees of Easton,Rees,of Easton,,Life peer,Labour
3751,Lord Rees of Ludlow,Rees,of Ludlow,,Life peer,Crossbench
617,Lord Reid of Cardowan,Reid,of Cardowan,,Life peer,Labour
4946,Lord Remnant,Remnant,,,Excepted Hereditary,Conservative
2484,Lord Rennard,Rennard,,,Life peer,Liberal Democrat
4317,Lord Richards of Herstmonceux,Richards,of Herstmonceux,,Life peer,Crossbench
4587,Lord Ricketts,Ricketts,,,Life peer,Crossbench
139,Lord Risby,Risby,,,Life peer,Conservative
4130,Baroness Ritchie of Downpatrick,Ritchie,of Downpatrick,,Life peer,Labour
334,Lord Robathan,Robathan,,,Life peer,Conservative
4961,Lord Roberts of Belgravia,Roberts,of Belgravia,,Life peer,Conservative
3691,Lord Roberts of Llandudno,Roberts,of Llandudno,,Life peer,Liberal Democrat
672,Lord Robertson of Port Ellen,Robertson,of Port Ellen,,Life peer,Labour
4953,Lord Roborough,Roborough,,,Excepted Hereditary,Conservative
4556,Baroness Rock,Rock,,,Life peer,Conservative
2478,Lord Rogan,Rogan,,,Life peer,Ulster Unionist Party
5378,Lord Rook,Rook,,,Life peer,Labour
302,Lord Rooker,Rooker,,,Life peer,Labour
4326,Lord Rose of Monewden,Rose,of Monewden,,Life peer,Conservative
4992,Lord Rosenfield,Rosenfield,,,Life peer,Non-affiliated
3135,The Earl of Rosslyn,The,Earl of Rosslyn,,Excepted Hereditary,Crossbench
554,Lord Rowlands,Rowlands,,,Life peer,Labour
3703,Baroness Royall of Blaisdon,Royall,of Blaisdon,,Life peer,Labour
4983,Earl Russell,Russell,,,Excepted Hereditary,Liberal Democrat
2134,Lord Russell of Liverpool,Russell,of Liverpool,,Excepted Hereditary,Crossbench
2154,Lord Saatchi,Saatchi,,,Life peer,Conservative
4963,Lord Sahota,Sahota,,,Life peer,Labour
4727,Baroness Sanderson of Welton,Sanderson,of Welton,,Life peer,Conservative
4920,Lord Sandhurst,Sandhurst,,,Excepted Hereditary,Conservative
4882,Lord Sarfraz,Sarfraz,,,Life peer,Conservative
4146,Lord Sassoon,Sassoon,,,Life peer,Conservative
4700,Baroness Sater,Sater,,,Life peer,Conservative
2099,Baroness Scotland of Asthal,Scotland,of Asthal,,Life peer,Labour
4553,Baroness Scott of Bybrook,Scott,of Bybrook,,Life peer,Conservative
2542,Baroness Scott of Needham Market,Scott,of Needham Market,,Life peer,Liberal Democrat
4333,Lord Scriven,Scriven,,,Life peer,Liberal Democrat
2097,Baroness Seccombe,Seccombe,,,Life peer,Conservative
4886,Lord Sedwill,Sedwill,,,Life peer,Crossbench
3762,Lord Sentamu,Sentamu,,,Life peer,Crossbench
4978,Lord Sewell of Sanderstead,Sewell,of Sanderstead,,Life peer,Conservative
4198,Baroness Shackleton of Belgravia,Shackleton,of Belgravia,,Life peer,Conservative
4894,Baroness Shafik,Shafik,,,Life peer,Crossbench
5013,Lord Shamash,Shamash,,,Life peer,Labour
4196,Lord Sharkey,Sharkey,,,Life peer,Liberal Democrat
4014,Lord Sharma,Sharma,,,Life peer,Conservative
4888,Lord Sharpe of Epsom,Sharpe,of Epsom,,Life peer,Conservative
5406,Baroness Shawcross-Wolfson,Shawcross-Wolfson,,,Life peer,Conservative
4548,Baroness Sheehan,Sheehan,,,Life peer,Liberal Democrat
4980,The Lord Bishop of Sheffield,The,Lord Bishop of Sheffield,,Bishops,Bishops
132,Baroness Shephard of Northwold,Shephard,of Northwold,,Life peer,Conservative
4287,Lord Sherbourne of Didsbury,Sherbourne,of Didsbury,,Life peer,Conservative
4147,Baroness Sherlock,Sherlock,,,Life peer,Labour
4325,Baroness Shields,Shields,,,Life peer,Conservative
4557,Lord Shinkwin,Shinkwin,,,Life peer,Conservative
4176,Lord Shipley,Shipley,,,Life peer,Liberal Democrat
2147,The Earl of Shrewsbury,The,Earl of Shrewsbury,,Excepted Hereditary,Conservative
4885,Lord Sikka,Sikka,,,Life peer,Labour
4251,Lord Singh of Wimbledon,Singh,of Wimbledon,,Life peer,Crossbench
3120,Lord Skidelsky,Skidelsky,,,Life peer,Crossbench
4170,Baroness Smith of Basildon,Smith,of Basildon,,Life peer,Labour
5370,Baroness Smith of Cluny,Smith,of Cluny,,Life peer,Labour
186,Lord Smith of Finsbury,Smith,of Finsbury,,Life peer,Labour
4542,Lord Smith of Hindhead,Smith,of Hindhead,,Life peer,Conservative
3856,Lord Smith of Kelvin,Smith,of Kelvin,,Life peer,Crossbench
5023,Baroness Smith of Llanfaes,Smith,of Llanfaes,,Life peer,Plaid Cymru
269,Baroness Smith of Malvern,Smith,of Malvern,,Life peer,Labour
4323,Baroness Smith of Newnham,Smith,of Newnham,,Life peer,Liberal Democrat
319,Lord Snape,Snape,,,Life peer,Labour
116,Lord Soames of Fletching,Soames,of Fletching,,Life peer,Conservative
3147,The Duke of Somerset,The,Duke of Somerset,,Excepted Hereditary,Crossbench
4345,The Lord Bishop of Southwark,The,Lord Bishop of Southwark,,Bishops,Bishops
4940,The Lord Bishop of Southwell and Nottingham,The,Lord Bishop of Southwell and Nottingham,,Bishops,Bishops
318,Lord Spellar,Spellar,,,Life peer,Labour
4892,Lord Spencer of Alresford,Spencer,of Alresford,,Life peer,Conservative
5404,Baroness Spielman,Spielman,,,Life peer,Conservative
2155,Lord St John of Bletso,St,John of Bletso,,Excepted Hereditary,Crossbench
3137,The Earl of Stair,The,Earl of Stair,,Excepted Hereditary,Crossbench
4925,Viscount Stansgate,Stansgate,,,Excepted Hereditary,Labour
4174,Baroness Stedman-Scott,Stedman-Scott,,,Life peer,Conservative
4239,Lord Stephen,Stephen,,,Life peer,Liberal Democrat
2228,Lord Sterling of Plaistow,Sterling,of Plaistow,,Life peer,Conservative
2475,Baroness Stern,Stern,,,Life peer,Crossbench
3846,Lord Stern of Brentford,Stern,of Brentford,,Life peer,Crossbench
4924,Lord Stevens of Birmingham,Stevens,of Birmingham,,Life peer,Crossbench
3733,Lord Stevens of Kirkwhelpington,Stevens,of Kirkwhelpington,,Life peer,Crossbench
2227,Lord Stevens of Ludgate,Stevens,of Ludgate,,Life peer,Conservative Independent
4175,Lord Stevenson of Balmacara,Stevenson,of Balmacara,,Life peer,Labour
4899,Lord Stewart of Dirleton,Stewart,of Dirleton,,Life peer,Conservative
4233,Lord Stirrup,Stirrup,,,Life peer,Crossbench
2222,Lord Stone of Blackheath,Stone,of Blackheath,,Life peer,Non-affiliated
4215,Lord Stoneham of Droxford,Stoneham,of Droxford,,Life peer,Liberal Democrat
4238,Lord Storey,Storey,,,Life peer,Liberal Democrat
4205,Baroness Stowell of Beeston,Stowell,of Beeston,,Life peer,Conservative
4204,Lord Strasburger,Strasburger,,,Life peer,Liberal Democrat
4937,Lord Strathcarron,Strathcarron,,,Excepted Hereditary,Non-affiliated
2221,Lord Strathclyde,Strathclyde,,,Excepted Hereditary,Conservative
4546,Baroness Stroud,Stroud,,,Life peer,Conservative
296,Baroness Stuart of Edgbaston,Stuart,of Edgbaston,,Life peer,Crossbench
3897,Lord Sugar,Sugar,,,Life peer,Crossbench
4584,Baroness Sugg,Sugg,,,Life peer,Conservative
4328,Lord Suri,Suri,,,Life peer,Conservative
4298,Baroness Suttie,Suttie,,,Life peer,Liberal Democrat
4985,Baroness Swinburne,Swinburne,,,Life peer,Conservative
1408,Lord Swire,Swire,,,Life peer,Conservative
2233,Baroness Symons of Vernham Dean,Symons,of Vernham Dean,,Life peer,Labour
5027,Lord Tarassenko,Tarassenko,,,Life peer,Crossbench
407,Baroness Taylor of Bolton,Taylor,of Bolton,,Life peer,Labour
228,Lord Taylor of Goss Moor,Taylor,of Goss Moor,,Life peer,Liberal Democrat
3787,Lord Taylor of Holbeach,Taylor,of Holbeach,,Life peer,Conservative
4956,Baroness Taylor of Stevenage,Taylor,of Stevenage,,Life peer,Labour
1796,Lord Taylor of Warwick,Taylor,of Warwick,,Life peer,Non-affiliated
3789,Lord Teverson,Teverson,,,Life peer,Liberal Democrat
4309,Lord Thomas of Cwmgiedd,Thomas,of Cwmgiedd,,Life peer,Crossbench
1804,Lord Thomas of Gresford,Thomas,of Gresford,,Life peer,Liberal Democrat
3785,Baroness Thomas of Winchester,Thomas,of Winchester,,Life peer,Liberal Democrat
4558,Baroness Thornhill,Thornhill,,,Life peer,Liberal Democrat
1782,Baroness Thornton,Thornton,,,Life peer,Labour
4353,Lord Thurlow,Thurlow,,,Excepted Hereditary,Crossbench
1399,Viscount Thurso,Thurso,,,Excepted Hereditary,Liberal Democrat
5364,Lord Timpson,Timpson,,,Life peer,Labour
1703,Lord Tope,Tope,,,Life peer,Liberal Democrat
542,Lord Touhig,Touhig,,,Life peer,Labour
4260,Lord Trees,Trees,,,Life peer,Crossbench
1813,Lord Trefgarne,Trefgarne,,,Excepted Hereditary,Conservative
1829,Viscount Trenchard,Trenchard,,,Excepted Hereditary,Conservative
4560,Lord Trevethin and Oaksey,Trevethin,and Oaksey,,Excepted Hereditary,Crossbench
3651,Lord Triesman,Triesman,,,Life peer,Labour
4200,Lord True,True,,,Life peer,Conservative
3682,Lord Truscott,Truscott,,,Life peer,Non-affiliated
1705,Lord Tugendhat,Tugendhat,,,Life peer,Conservative
3671,Lord Tunnicliffe,Tunnicliffe,,,Life peer,Labour
2537,Lord Turnberg,Turnberg,,,Life peer,Labour
3758,Lord Turnbull,Turnbull,,,Life peer,Crossbench
3752,Lord Turner of Ecchinswell,Turner,of Ecchinswell,,Life peer,Crossbench
4966,Baroness Twycross,Twycross,,,Life peer,Labour
4231,Baroness Tyler of Enfield,Tyler,of Enfield,,Life peer,Liberal Democrat
112,Lord Tyrie,Tyrie,,,Life peer,Non-affiliated
1827,Baroness Uddin,Uddin,,,Life peer,Non-affiliated
4898,Lord Udny-Lister,Udny-Lister,,,Life peer,Conservative
1580,Lord Vaizey of Didcot,Vaizey,of Didcot,,Life peer,Conservative
3757,Baroness Valentine,Valentine,,,Life peer,Crossbench
5363,Lord Vallance of Balham,Vallance,of Balham,,Life peer,Labour
4687,Lord Vaux of Harrowden,Vaux,of Harrowden,,Excepted Hereditary,Crossbench
4962,Lord Verdirame,Verdirame,,,Life peer,Non-affiliated
4580,Baroness Vere of Norbiton,Vere,of Norbiton,,Life peer,Conservative
4299,Lord Verjee,Verjee,,,Life peer,Liberal Democrat
3790,Baroness Verma,Verma,,,Life peer,Conservative
1278,Lord Wakeham,Wakeham,,,Life peer,Conservative
957,Lord Waldegrave of North Hill,Waldegrave,of North Hill,,Life peer,Conservative
3825,Lord Walker of Aldringham,Walker,of Aldringham,,Life peer,Crossbench
1816,Lord Wallace of Saltaire,Wallace,of Saltaire,,Life peer,Liberal Democrat
630,Lord Wallace of Tankerness,Wallace,of Tankerness,,Life peer,Liberal Democrat
2547,Baroness Walmsley,Walmsley,,,Life peer,Liberal Democrat
3917,Lord Walney,Walney,,,Life peer,Crossbench
3839,Baroness Warsi,Warsi,,,Life peer,Non-affiliated
2471,Baroness Warwick of Undercliffe,Warwick,of Undercliffe,,Life peer,Labour
4207,Lord Wasserman,Wasserman,,,Life peer,Conservative
4566,Baroness Watkins of Tavistock,Watkins,of Tavistock,,Life peer,Crossbench
1241,Lord Watson of Invergowrie,Watson,of Invergowrie,,Life peer,Labour
1463,Lord Watson of Wyre Forest,Watson,of Wyre Forest,,Life peer,Labour
489,Lord Watts,Watts,,,Life peer,Labour
4145,Lord Wei,Wei,,,Life peer,Conservative
4970,Lord Weir of Ballyholme,Weir,of Ballyholme,,Life peer,Democratic Unionist Party
4541,The Duke of Wellington,The,Duke of Wellington,,Excepted Hereditary,Crossbench
3834,Lord West of Spithead,West,of Spithead,,Life peer,Labour
4123,Lord Wharton of Yarm,Wharton,of Yarm,,Life peer,Conservative
4199,Baroness Wheatcroft,Wheatcroft,,,Life peer,Crossbench
4157,Baroness Wheeler,Wheeler,,,Life peer,Labour
2510,Baroness Whitaker,Whitaker,,,Life peer,Labour
4292,Lord Whitby,Whitby,,,Life peer,Conservative
5409,Baroness White of Tufnell Park,White,of Tufnell Park,,Life peer,Crossbench
2444,Lord Whitty,Whitty,,,Life peer,Labour
547,Lord Wigley,Wigley,,,Life peer,Plaid Cymru
4730,Baroness Wilcox of Newport,Wilcox,of Newport,,Life peer,Labour
53,Lord Willetts,Willetts,,,Life peer,Conservative
4311,Baroness Williams of Trafford,Williams,of Trafford,,Life peer,Conservative
4151,Lord Willis of Knaresborough,Willis,of Knaresborough,,Life peer,Liberal Democrat
4945,Baroness Willis of Summertown,Willis,of Summertown,,Life peer,Crossbench
260,Lord Wills,Wills,,,Life peer,Labour
2206,Lord Wilson of Dinton,Wilson,of Dinton,,Life peer,Crossbench
1603,Lord Wilson of Sedgefield,Wilson,of Sedgefield,,Life peer,Labour
5004,The Lord Bishop of Winchester,The,Lord Bishop of Winchester,,Bishops,Bishops
1770,Lord Winston,Winston,,,Life peer,Labour
390,Baroness Winterton of Doncaster,Winterton,of Doncaster,,Life peer,Labour
4347,Baroness Wolf of Dulwich,Wolf,of Dulwich,,Life peer,Crossbench
4152,Lord Wolfson of Aspley Guise,Wolfson,of Aspley Guise,,Life peer,Conservative
4901,Lord Wolfson of Tredegar,Wolfson,of Tredegar,,Life peer,Conservative
4217,Lord Wood of Anfield,Wood,of Anfield,,Life peer,Labour
4897,Lord Woodley,Woodley,,,Life peer,Labour
1773,Lord Woolf,Woolf,,,Life Peer (judicial),Crossbench
4722,Lord Woolley of Woodford,Woolley,of Woodford,,Life peer,Crossbench
965,Lord Wrigglesworth,Wrigglesworth,,,Life peer,Liberal Democrat
1746,Lord Wrottesley,Wrottesley,,,Excepted Hereditary,Conservative
4685,Baroness Wyld,Wyld,,,Life peer,Conservative
4315,The Lord Archbishop of York,The,Lord Archbishop of York,,Bishops,Bishops
5379,Lord Young of Acton,Young,of Acton,,Life peer,Conservative
57,Lord Young of Cookham,Young,of Cookham,,Life peer,Conservative
3696,Baroness Young of Hornsey,Young,of Hornsey,,Life peer,Crossbench
3702,Lord Young of Norwood Green,Young,of Norwood Green,,Life peer,Labour
1755,Baroness Young of Old Scone,Young,of Old Scone,,Life peer,Labour
4982,Lord Young of Old Windsor,Young,of Old Windsor,,Life peer,Crossbench
4169,Viscount Younger of Leckie,Younger,of Leckie,,Excepted Hereditary,Conservative
